Tcrit_mean,Tcrit_std,elite_fracture_prob_mean,elite_fracture_prob_std,time_to_elite_fracture_mean,time_to_elite_fracture_std,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,avg_loyal_mean,avg_loyal_std,peak_protest_mean,peak_protest_std,end_displaced_m_mean,end_displaced_m_std,mean_elite_mean,mean_elite_std,min_elite_mean,min_elite_std,mean_stab_mean,mean_stab_std,min_stab_mean,min_stab_std
58.0,0.0,0.0,0.0,157.0,0.0,3.0,0.0,0.015993043315578045,0.0,0.23471675658309418,0.0,0.6869292471162259,0.0,0.4139222339946348,6.206335383118183e-17,0.3493558792501049,0.0,0.25084687509000925,0.0,0.08513441893838447,0.0
55.0,0.0,1.0,0.0,135.0,0.0,21.0,0.0,0.015944268553903063,0.0,0.23638613446186554,3.1031676915590914e-17,0.6963209394803538,0.0,0.41027877389832285,0.0,0.3441938425603624,0.0,0.23713138592692123,3.1031676915590914e-17,0.06578344177897257,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.015971608865877174,0.0,0.23488390710174248,3.1031676915590914e-17,0.6877040826599082,0.0,0.41371444044962946,6.206335383118183e-17,0.34891460420750164,0.0,0.24991984590090127,0.0,0.08352035252561621,0.0
21.0,0.0,1.0,0.0,46.0,0.0,110.0,0.0,0.0159660855221112,0.0,0.8513374996443973,0.0,1.4064697807203024,0.0,0.3539925077457366,0.0,0.2922455352502153,0.0,0.0744549353558607,0.0,0.0,0.0
47.0,0.0,1.0,0.0,91.0,0.0,65.0,0.0,0.0159692927993896,0.0,0.3134424131029216,0.0,0.7497314517735567,0.0,0.3932339629002436,0.0,0.32263869423401925,0.0,0.16792476375301635,0.0,0.0,0.0
51.0,0.0,1.0,0.0,110.0,0.0,46.0,0.0,0.01596948923293681,0.0,0.2367422780739395,3.1031676915590914e-17,0.6888000700712096,0.0,0.40383399747028675,0.0,0.33060828755908017,0.0,0.20028929461530995,0.0,0.0,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.015970220312801722,0.0,0.2348411971330381,3.1031676915590914e-17,0.687615276165212,0.0,0.4135252214157023,0.0,0.34898066110634696,0.0,0.2493050185720591,0.0,0.08373193099283578,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.015056523850520226,0.0,0.2348359816559462,0.0,0.68760508929376,0.0,0.41357758328112765,0.0,0.34898881878212107,0.0,0.24955894926326688,3.1031676915590914e-17,0.08375786871683719,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.028662554529061378,3.878959614448864e-18,0.23484718541131994,0.0,0.6875696436920384,0.0,0.41389277484183057,0.0,0.34896313544171703,0.0,0.25068061030753197,0.0,0.08368447064879395,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.016524402871426033,0.0,0.23484244470984367,0.0,0.6876164571737416,0.0,0.413621955090601,0.0,0.3489788473243568,0.0,0.24972060297250534,0.0,0.08372588312119207,0.0
58.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.015983741478243767,0.0,0.234840526627818,0.0,0.6876132538838509,0.0,0.41794739138001613,6.206335383118183e-17,0.3526669810272432,0.0,0.24968970505595595,0.0,0.08373538120961994,0.0
58.0,0.0,1.0,0.0,139.0,0.0,17.0,0.0,0.015966167806797247,0.0,0.23484007223574882,3.1031676915590914e-17,0.6876124238380281,0.0,0.41110447149488333,0.0,0.3456335409041506,0.0,0.2496755304572608,0.0,0.08373762913249179,0.0
71.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.01597114662222994,0.0,0.2319755961919793,0.0,0.6830247054384302,0.0,0.422335782914996,0.0,0.3533354756113458,0.0,0.2873740947164093,0.0,0.0976681356282461,0.0
86.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.015972822758832637,0.0,0.231029520952293,0.0,0.6850346954765855,0.0,0.4352511760931416,0.0,0.38086298746970865,0.0,0.3556214088871964,0.0,0.22717751064836428,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.015986329798272067,0.0,0.23483805161489618,0.0,0.6876092940688405,0.0,0.41362271709554604,0.0,0.34898566413979254,0.0,0.24973448574056406,0.0,0.08374766894808355,0.0
58.0,0.0,1.0,0.0,151.0,0.0,5.0,0.0,0.015727708925302387,0.0,0.23487319066553045,3.1031676915590914e-17,0.6876642407943697,0.0,0.4134148131398625,0.0,0.3489308742746684,0.0,0.24883614185234276,3.1031676915590914e-17,0.0835730966507024,0.0
7.0,0.0,1.0,0.0,150.0,0.0,6.0,0.0,0.015962719209495168,0.0,0.23496477445558722,0.0,0.6878663939123069,0.0,0.4077788012063162,0.0,0.3486896094232654,0.0,0.22410672265956624,3.1031676915590914e-17,0.08284749153790094,0.0
58.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.015902384817321594,0.0,0.23483841872145153,3.1031676915590914e-17,0.6876093905272916,0.0,0.42650958833691555,6.206335383118183e-17,0.3699196608254143,0.0,0.24962228410277915,0.0,0.08374580864640137,0.0
7.0,0.0,1.0,0.0,48.0,0.0,108.0,0.0,0.028037757206679344,0.0,1.0,0.0,1.7491577246937162,2.482534153247273e-16,0.36300562068559444,0.0,0.31159357563031265,0.0,0.06952855886500145,0.0,0.0,0.0
42.0,0.0,1.0,0.0,60.0,0.0,96.0,0.0,0.016609560133311992,0.0,1.0,0.0,2.0589826561593987,0.0,0.39163999518178805,0.0,0.3165877987319416,0.0,0.18708998164561932,0.0,0.0,0.0
42.0,0.0,1.0,0.0,60.0,0.0,96.0,0.0,0.016604988967099492,0.0,1.0,0.0,2.0590228126085686,0.0,0.3916312007590402,0.0,0.31658779802021825,0.0,0.1870572562483238,0.0,0.0,0.0
42.0,0.0,1.0,0.0,60.0,0.0,96.0,0.0,0.016800162304475404,0.0,1.0,0.0,2.057227271240277,0.0,0.39201721178831106,0.0,0.31658783003462176,0.0,0.18849281371808368,0.0,0.0,0.0
42.0,0.0,1.0,0.0,60.0,0.0,96.0,0.0,0.016618683702131796,0.0,1.0,0.0,2.0506344269279206,0.0,0.39206070997778386,0.0,0.31669439737759963,0.0,0.1882206428368912,0.0,0.0,0.0
